codigo_localidad,anio,casos,sexo,mes,dia_semana,rango_hora,tipo_accidente,circunstancia,condicion_victima,medio_transporte,localidad,ciclo_vital
0,2015,2,Hombre,julio,domingo,03:00 a 05:59,Choque con otro vehículo,Desobedecer señales de tránsito,Pasajero,Automóvil,Sin localidad específica,(18 a 28) Juventud
0,2015,1,Hombre,abril,sábado,00:00 a 02:59,Choque con objeto fijo o en movimiento,Embriaguez (Alcohólica y no alcohólica),Conductor,Automóvil,Sin localidad específica,(18 a 28) Juventud
3,2015,1,Hombre,abril,jueves,18:00 a 20:59,Choque con otro vehículo,Otras circunstancias no especificadas,Pasajero,Automóvil,Santa Fe,(29 a 59) Adultez
0,2015,1,Mujer,febrero,domingo,Sin información,Sin información,Sin información,Pasajero,Automóvil,Sin localidad específica,(29 a 59) Adultez
8,2015,1,Mujer,agosto,domingo,00:00 a 02:59,Choque con objeto fijo o en movimiento,Exceso de velocidad,Pasajero,Automóvil,Kennedy,(18 a 28) Juventud
10,2015,1,Hombre,febrero,miércoles,00:00 a 02:59,Choque con objeto fijo o en movimiento,Malas condiciones de la vía,Conductor,Automóvil,Engativá,(29 a 59) Adultez
6,2015,1,Hombre,octubre,viernes,00:00 a 02:59,Choque con objeto fijo o en movimiento,Otras circunstancias no especificadas,Pasajero,Automóvil,Tunjuelito,(29 a 59) Adultez
8,2015,1,Hombre,abril,sábado,00:00 a 02:59,Choque con objeto fijo o en movimiento,Embriaguez (Alcohólica y no alcohólica),Conductor,Automóvil,Kennedy,(18 a 28) Juventud
0,2015,1,Hombre,abril,viernes,Sin información,Volcamiento,Otras circunstancias no especificadas,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,noviembre,sábado,03:00 a 05:59,Choque con otro vehículo,Sin información,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
8,2015,1,Mujer,agosto,domingo,00:00 a 02:59,Choque con objeto fijo o en movimiento,Exceso de velocidad,Pasajero,Automóvil,Kennedy,(29 a 59) Adultez
14,2015,1,Hombre,junio,domingo,03:00 a 05:59,Choque con otro vehículo,Sin información,Conductor,Automóvil,Los Mártires,(18 a 28) Juventud
0,2015,1,Mujer,agosto,domingo,00:00 a 02:59,Choque con objeto fijo o en movimiento,Exceso de velocidad,Pasajero,Automóvil,Sin localidad específica,(12 a 17) Adolescencia
2,2015,1,Hombre,noviembre,sábado,03:00 a 05:59,Choque con otro vehículo,Sin información,Conductor,Automóvil,Chapinero,(29 a 59) Adultez
0,2015,1,Hombre,diciembre,viernes,03:00 a 05:59,Choque con objeto fijo o en movimiento,Exceso de velocidad,Conductor,Automóvil,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,abril,jueves,18:00 a 20:59,Choque con otro vehículo,Otras circunstancias no especificadas,Pasajero,Automóvil,Sin localidad específica,(29 a 59) Adultez
12,2015,1,Hombre,noviembre,domingo,03:00 a 05:59,Choque con objeto fijo o en movimiento,Sin información,Conductor,Automóvil,Barrios Unidos,(29 a 59) Adultez
0,2015,1,Hombre,octubre,viernes,00:00 a 02:59,Choque con objeto fijo o en movimiento,Otras circunstancias no especificadas,Pasajero,Automóvil,Sin localidad específica,(29 a 59) Adultez
1,2015,1,Hombre,septiembre,lunes,21:00 a 23:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Automóvil,Usaquén,(29 a 59) Adultez
14,2015,1,Hombre,junio,lunes,00:00 a 02:59,Choque con objeto fijo o en movimiento,Sin información,Pasajero,Automóvil,Los Mártires,(18 a 28) Juventud
0,2015,1,Hombre,junio,lunes,00:00 a 02:59,Choque con objeto fijo o en movimiento,Sin información,Pasajero,Automóvil,Sin localidad específica,(18 a 28) Juventud
15,2015,1,Hombre,julio,viernes,21:00 a 23:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Automóvil,Antonio Nariño,(29 a 59) Adultez
